,RMSE,latent dimentions,lambda,learning rate,epochs
0,1.0821089224364386,50,0.001,0.1,250
1,1.0642542334801735,50,0.001,0.1,500
2,1.0554790890280359,50,0.001,0.1,750
3,1.240308895026506,50,0.001,0.01,250
4,1.2817995625773946,50,0.001,0.01,500
5,1.3077015204934193,50,0.001,0.01,750
6,1.0978728324627032,50,0.001,0.001,250
7,1.1602391380973678,50,0.001,0.001,500
8,1.2054896752212583,50,0.001,0.001,750
9,1.0317710812447842,50,0.001,0.0001,250
10,1.0354208042543518,50,0.001,0.0001,500
11,1.0399101518292004,50,0.001,0.0001,750
12,0.9890743947404912,50,0.1,0.1,250
13,0.9836623103058522,50,0.1,0.1,500
14,0.9930707160239098,50,0.1,0.1,750
15,1.10842988787509,50,0.1,0.01,250
16,1.108114124209527,50,0.1,0.01,500
17,1.1184014103369295,50,0.1,0.01,750
18,1.0718007377790526,50,0.1,0.001,250
19,1.1110206527580373,50,0.1,0.001,500
20,1.125909138679368,50,0.1,0.001,750
21,1.038206318759845,50,0.1,0.0001,250
22,1.0387939705548774,50,0.1,0.0001,500
23,1.0381437098801276,50,0.1,0.0001,750
24,0.9868142856820494,50,1.0,0.1,250
25,0.9850432852096185,50,1.0,0.1,500
26,0.9833554047992308,50,1.0,0.1,750
27,0.9979153443450083,50,1.0,0.01,250
28,0.9953828679773457,50,1.0,0.01,500
29,0.9911833135819134,50,1.0,0.01,750
30,1.003816249037412,50,1.0,0.001,250
31,0.9990098745933441,50,1.0,0.001,500
32,1.0002598128250233,50,1.0,0.001,750
33,1.0376674639035597,50,1.0,0.0001,250
34,1.0224958825136286,50,1.0,0.0001,500
35,1.015111576037966,50,1.0,0.0001,750
36,0.9864544074506822,50,100.0,0.1,250
37,0.9853043968465763,50,100.0,0.1,500
38,0.9835306189867851,50,100.0,0.1,750
39,0.9795659540056623,50,100.0,0.01,250
40,0.9796172991000325,50,100.0,0.01,500
41,0.9794831198185018,50,100.0,0.01,750
42,0.9820991732728683,50,100.0,0.001,250
43,0.9778913395821001,50,100.0,0.001,500
44,0.9780596443244095,50,100.0,0.001,750
45,1.1934683333260927,50,100.0,0.0001,250
46,1.0844809063050003,50,100.0,0.0001,500
47,1.0377302794998555,50,100.0,0.0001,750
48,0.9854765075366446,50,1000.0,0.1,250
49,0.984776511455167,50,1000.0,0.1,500
50,0.9830034093123944,50,1000.0,0.1,750
51,0.979719348036505,50,1000.0,0.01,250
52,0.9796991736892786,50,1000.0,0.01,500
53,0.9796803130583727,50,1000.0,0.01,750
54,0.9799108093047906,50,1000.0,0.001,250
55,0.9795636249119513,50,1000.0,0.001,500
56,0.9796230285224828,50,1000.0,0.001,750
57,1.816067781998193,50,1000.0,0.0001,250
58,1.3572505718423225,50,1000.0,0.0001,500
59,1.123645004561368,50,1000.0,0.0001,750
60,1.0837098165192158,100,0.001,0.1,250
61,1.1458750553015586,100,0.001,0.1,500
62,1.073068181718143,100,0.001,0.1,750
63,1.3333946404085755,100,0.001,0.01,250
64,1.3645380517264643,100,0.001,0.01,500
65,1.3873592809521624,100,0.001,0.01,750
66,1.1316293448196966,100,0.001,0.001,250
