,Element,Occurrence Count
0,0,[2196 2904 1034  526 1786]
1,1,[2904 1258 1609 3470 1786]
2,2,[2072 2196 2904  732 1786]
3,3,[1197 2196 2072 2904 1786]
4,4,[ 912 2904  307 1212 1786]
5,5,[2072 2965  913 1034 1786]
6,6,[3469 2196 2072 2904 1786]
7,7,[2904 2196 1392 1786  607]
8,8,[2196  915 2904  456 1786]
9,9,[1096 1786 1209 1958 1648]
10,10,[ 317 2917 2904 2803 1786]
11,11,[2072 2196 2904  857 1786]
12,12,[2196 3469 2904 2570 1786]
13,13,[ 915 2196 2904 2685 1786]
14,14,[ 910 2904 2761  109 1786]
15,15,[3469 2072 2196 2904 1786]
16,16,[2761  588 1212 1786  456]
17,17,[2393 1258 2160 1786  918]
18,18,[1721 2904 1786  732 2986]
19,19,[2608 2196 3752 2904 1786]
20,20,[3469 2072 2196 2904 1786]
21,21,[2796 2904 1213 1214 1786]
22,22,[2904 1264 1786 1248 1526]
23,23,[3551 2904 1673 1089 1786]
24,24,[1195 2715 2904 1786 1290]
25,25,[1078 2196 2320 2904 1786]
26,26,[ 911 2904 2185 1251 1786]
27,27,[2196 2904 1290 1209 1786]
28,28,[1197 2196 2904 1219 1786]
29,29,[ 317 2072 2196 2904 1786]
30,30,[2196 3469  904 2904 1786]
31,31,[ 915 2196 2904 2072 1786]
32,32,[1299  122 1357 2904 1786]
33,33,[2323 1195 1786 2904 1967]
34,34,[2196 2072  915 3750 1786]
35,35,[ 857 1786 2715  911   20]
36,36,[2395 2196  707 2904 1786]
37,37,[2072 2196 2904 1392 1786]
38,38,[2196 2691 1126 2904 1786]
39,39,[3469 1290 1197 2904 1786]
40,40,[2072 2196 2904  259 1786]
41,41,[ 214 2072 3469 2904 1786]
42,42,[3469 2072 2196 2904 1786]
43,43,[ 214 2196 2365 2904 1786]
44,44,[ 586 2715 3087 1786  904]
45,45,[3469 2072 2196 2904 1786]
46,46,[3469 2072 2196 2904 1786]
47,47,[2027 2904 1692 1786   16]
48,48,[1035  594  479 1199 1786]
49,49,[ 915 2196 2072 2904 1786]
50,50,[2904 3254 1786 3113    0]
51,51,[2196  379 2072 2904 1786]
52,52,[ 592  149 1609 2727 2904]
53,53,[2196 2072 2904 1192 1786]
54,54,[2072 2196 2904  317 1786]
55,55,[2904 2196 2072  607 1786]
56,56,[3469 2072 2196 2904 1786]
57,57,[1135  110 1786 2075 2761]
58,58,[1187 1232 2608 1786 1246]
59,59,[3469 2072 2196 2904 1786]
60,60,[3469 2072 2196 2904 1786]
61,61,[2818 1211 2857   31 1786]
62,62,[2711 2904 2426 2598 1786]
63,63,[2072 2904 3577 1786 2761]
64,64,[2904 1916 2027 1786  479]
65,65,[2196  915 2072 2904 1786]
