,Element,Occurrence Count
0,0,"[  47  848   16   36   25    4    3   18  453 1307   21   13   22   35
  299  223   44   24  403   23]"
1,1,"[137 114 694  17  58 138 325 321 464 272 133 116 134 933 496 115 277 118
 120 629]"
2,2,"[  73 1211   50  134   40    9  115   14  128  146  114   47   29  400
   38   12  116   17   58   63]"
3,3,"[128 629 786 149 120  40 788 787  74 751 148  63 116 118 150 114 227  17
  58 115]"
4,4,"[ 591 1418  114  256  118  398   31  252  264 2482  212  744  241  394
  186  225  348  344  268  266]"
5,5,"[1652  410  776 1356  282 1731   26  108   21 1966  300   13 1820  303
  304  301  299  510  305   24]"
6,6,"[322 118 694 321 115 326 138 629 628 869 632 133 316 137 933 325 120 134
 272 277]"
7,7,"[ 749  338  321   86  336  367  348  206  214    2  331  364 1549  365
   50   58   17  189   45   47]"
8,8,"[206  86 397 118 236 278  50 678 253 344  47  17 115 364 114 335 214  58
  72  22]"
9,9,"[ 503   27  501  522  526  999 1058  499 1412   25    4  486 1062  564
  401  468  775  523  458   12]"
10,10,"[ 247  861  296  393   37  186   76 1519  300  473  681  113  223  394
  110  486   32   72  253   27]"
11,11,"[ 455  374   12   66 1186  206   11  785   38  152  310  274 1290   44
   63   47  203  314   14  400]"
12,12,"[478  40 326  12 642 505 868 155 117 490 508 794 138 272  86 137 496 514
 133 134]"
13,13,"[ 208   45  189  203   34   14   12  380  336  342  114 1726  187   82
   17  186   47  108   15   29]"
14,14,"[ 978  134  137  457  316  628  101  323 1081  692  468  702  631  503
  564  117  685  522  145  110]"
15,15,"[1422  389  380  512  171  972  717  666  284 1310 1147  180  716   29
  178  668  181 1367  715  177]"
16,16,"[ 911 1214  689  180  316  133  155  762  116  627  451  272  744  874
  134  243  770  496  366  397]"
17,17,"[515 800 453 485  25 160 474 483 500 449 776 493 305  24  23 639   3 300
 299 282]"
18,18,"[188  24 282 668  23  31 483 160 299 463 194 449  36 848 504 305   3 849
 403 300]"
19,19,"[167 206  73 110 379 113 116 623 315 382 114  17  48 195  14 253  82 373
  47  58]"
20,20,"[ 25 188 923   3 453  34  12 504 846 852 848 757 403 300 305 299 296 493
  23 194]"
21,21,"[1074  984  557  571  458  910  963  702  804  928  806  983  549  503
 1083  916  568  952  912  954]"
22,22,"[ 202  225  158  238 1418  188  108  100   37  247  253  589  186  221
  167  219  223  394  296  113]"
23,23,"[ 695  541 1412 1396  459 2020  514   47  367  206    2  336   93  189
  565  339 1073 1062 1053   45]"
24,24,"[ 556 1440  828  721 1068  478  499  585 1024 1430 1369  542  947  539
  942  522  804  407  540  503]"
25,25,"[1022   16  523  194 1050 1049 1043   27  535 1330  516  104  958  492
 1044  171   32  510    4 1047]"
26,26,"[   4  996   40  751   27  310  788 1001  486 1178  754  400  421  416
   63  729  432  177   25   12]"
27,27,"[  73  356   30  236   61  128   14  758  169   13   77   25   47   65
   71   84  398  214  341 1127]"
28,28,"[632 685 514 869 631 522 323 325 508 629 322 319 133 277 321 272 316 627
 496 134]"
29,29,"[205 223  17  22 278 297  14  29 347 356 336 396 161 108 261  45 214 235
  47  50]"
30,30,"[ 171  588   79  498  681  486   76  510  958  931  488  449   27  376
  110  281  436  288 1047   24]"
31,31,"[107 207 296 113 158  50  84 258  15  34 116  47  29 988 208 206  14 114
 108 203]"
32,32,"[ 759 1301   16   73 1271 1269   12  421  436   22  148  312  898   78
   74  151  248   71  283  760]"
33,33,"[2435  552  959  144  578   35  444 1506  963 2180  583  964  648 1317
  965  567   41  962  969  580]"
34,34,"[  89  330   62   66  734 1295   17  274 1373 1353 1127   14 2246   61
  108 1361   13   84  314 1270]"
35,35,"[316 313 628 115 137 353 270 874 277  68 683 258 325 366 114 116 691 933
 120 272]"
36,36,"[ 980  971  282  686  289  333   77  281  632  464  236  376   26  681
  449  458 1080    2  277  110]"
37,37,"[ 588  247  491 1055  401  108 1280 1078  681 1086  686   47  298  468
  110  564    2  980  610 1313]"
38,38,"[ 180  108  724  323  184 1367   29 1421  179 1310   15 1147  389  178
  380  666  186  654  972  667]"
39,39,"[ 152 1730  754   17  310  415  153 1387  414  336  427 1195  788   65
  638  400  274   13   63   12]"
40,40,"[ 514 1434   12   50  113  114  277   29  336 1412  247  866  187  876
  296  108  305  875  299  110]"
41,41,"[ 505 1452  133  134  451  147 1014  508  801  316  628  511  277  627
  496  924  272  642  325  645]"
42,42,"[ 184  666  179  512  177  284  667  341 1817   29  172  178 1911  660
  167 1147 1367  171  662  661]"
43,43,"[ 514   38  194    4   25  897  148  506  146 1305  751  171   63  425
  474  758  894  312   12  421]"
44,44,"[ 600  273  288  376 1048  610 1314  588  401  491 1058  564  466  110
  681 1313  298 1078  980  468]"
45,45,"[ 905 1523  916 2291 1024 1153 2349  593 1532  143 1218 1817 1628 1670
  884 1467 1463  885  883  875]"
46,46,"[ 223   12  400   73   61  786   29   58 1051  214 1195  314   45   65
   63   50  206   47   14   17]"
47,47,"[147  28 632 630 138 933 289 869 140 694 288 326 137 133 272 134 496 120
 277 325]"
48,48,"[ 133  539  508  145  685  155  321  511  134  147 1576  514  496  131
  272  627  924  328  522  316]"
49,49,"[ 373   73  340 1386  403   21  989   32   76  236   85   47  195    7
  348  370   35  378  315   82]"
50,50,"[690 521 223 256  99 604 188 253 393 269  72 160  37 113 296 186 247 394
 589 300]"
51,51,"[ 143  685  660  327  944  584  631 1470  581  637  528  634  328  557
  617  407  377  942  803  145]"
52,52,"[  29  314  152  207  758  208   47  751  755   13  421   12  988  203
   50   14  416  894   63 1019]"
53,53,"[  76 1235 1124   32  423   35  611  171  422  427  656  425  113 1050
  273  125  376  417    4  489]"
54,54,"[203  14 116  47 115 336 108 235  17  58  29 214 223 396  34 206  22  45
  50 296]"
55,55,"[ 97 353 206  47 319 203  14  50 116 110 933 123 214  29 120 263 114  17
  58 115]"
56,56,"[  63 1722 1584   35  726  404 2354  348  105  373 1247  677  379  623
  195   47  315  619  370   82]"
57,57,"[  76 1721 1269 1019  759  436  243 1705  758   73  236  751   12  421
   98   71   16  930  470   63]"
