,Element,Occurrence Count
0,0,"[2678, 2292, 703, 1058, 308, 3084, 898, 836, 288, 644, 1262, 1826, 49, 840, 3042, 1150, 51, 1162, 1114, 862]"
1,1,"[2678, 2292, 703, 1058, 3042, 3084, 898, 836, 1262, 3176, 1826, 684, 840, 644, 49, 1150, 854, 1082, 288, 2537]"
2,2,"[2678, 703, 2537, 1058, 2292, 836, 1826, 49, 308, 442, 3084, 288, 3042, 898, 1262, 3365, 2356, 2840, 1114, 963]"
3,3,"[2678, 703, 2292, 1058, 308, 836, 3084, 898, 2537, 3042, 1826, 49, 1262, 1109, 288, 840, 644, 684, 1150, 1114]"
4,4,"[2678, 3042, 2292, 1058, 3084, 3176, 703, 796, 1826, 1082, 854, 836, 898, 252, 1262, 708, 684, 1096, 1123, 2501]"
5,5,"[2537, 2678, 703, 644, 838, 2292, 1109, 2911, 2350, 2981, 308, 288, 1058, 898, 843, 836, 2840, 1006, 3084, 3245]"
6,6,"[2678, 703, 2292, 1058, 836, 308, 1826, 3084, 2537, 898, 49, 3042, 1262, 1100, 1109, 288, 840, 684, 1114, 644]"
7,7,"[2678, 703, 1058, 2292, 308, 836, 1826, 3084, 3042, 49, 1100, 898, 1262, 252, 684, 3176, 288, 796, 2537, 1109]"
8,8,"[2678, 2292, 3084, 836, 1826, 3042, 898, 1262, 3176, 840, 796, 252, 1082, 1109, 288, 1150, 1100, 708, 1114, 51]"
9,9,"[2678, 2292, 644, 703, 1109, 838, 308, 288, 3084, 2981, 898, 2911, 2350, 836, 843, 862, 1006, 1527, 2840, 49]"
10,10,"[2678, 2292, 703, 1058, 3084, 898, 1109, 836, 288, 644, 1262, 1826, 684, 3042, 840, 1150, 51, 352, 2147, 3057]"
11,11,"[2678, 1058, 703, 2292, 308, 3042, 1826, 3084, 836, 3176, 252, 898, 49, 1262, 684, 1082, 708, 840, 288, 854]"
12,12,"[2678, 2292, 1058, 703, 3084, 3042, 898, 836, 1262, 3176, 1826, 684, 1109, 840, 1082, 1150, 854, 51, 796, 644]"
13,13,"[2678, 2292, 1058, 703, 308, 3084, 3042, 836, 898, 1826, 1262, 3176, 684, 840, 49, 1082, 796, 1109, 252, 1150]"
14,14,"[2678, 703, 2292, 1058, 836, 1826, 3084, 3042, 898, 1262, 252, 684, 3176, 288, 840, 796, 1109, 1082, 1114, 1150]"
15,15,"[2678, 2292, 703, 308, 1058, 3084, 898, 1109, 836, 644, 288, 1262, 684, 49, 840, 1826, 1150, 3042, 2537, 51]"
16,16,"[2678, 2292, 1058, 703, 3084, 898, 3042, 836, 1109, 1262, 1826, 644, 840, 3176, 1150, 51, 288, 1082, 854, 1114]"
17,17,"[2678, 2292, 308, 1058, 703, 3084, 898, 644, 288, 836, 684, 3042, 1262, 1150, 51, 840, 2147, 886, 352, 3176]"
18,18,"[2678, 703, 1058, 2292, 836, 308, 1826, 49, 3042, 3084, 898, 1262, 288, 3176, 840, 1162, 1150, 1114, 1109, 3365]"
19,19,"[2678, 703, 2292, 1058, 308, 836, 3084, 1826, 898, 3042, 1262, 49, 684, 840, 3176, 1109, 252, 288, 1100, 796]"
20,20,"[2678, 1100, 252, 1826, 796, 1103, 703, 1058, 836, 2292, 49, 3042, 708, 1123, 1835, 2356, 308, 1262, 3060, 3176]"
21,21,"[2678, 3042, 2292, 1058, 703, 3084, 3176, 1826, 836, 898, 1082, 684, 1262, 252, 854, 708, 840, 49, 1096, 1150]"
22,22,"[2678, 1100, 1826, 3060, 1103, 2719, 2137, 2723, 2721, 2292, 288, 1191, 308, 1697, 2840, 3126, 459, 3575, 2716, 1183]"
23,23,"[2678, 2292, 703, 1058, 3084, 898, 1109, 836, 644, 288, 1262, 1826, 684, 49, 840, 3042, 1150, 51, 2537, 862]"
24,24,"[2678, 1058, 2292, 703, 308, 3042, 3084, 836, 1826, 898, 49, 684, 3176, 1262, 288, 840, 796, 1109, 1150, 1082]"
25,25,"[2678, 1103, 963, 3060, 2356, 2723, 1120, 2537, 252, 703, 2137, 2719, 1826, 1058, 49, 2292, 572, 836, 1183, 2716]"
26,26,"[2678, 2292, 1058, 308, 3084, 703, 3042, 898, 1826, 836, 1262, 1082, 684, 1096, 840, 708, 51, 1109, 49, 2150]"
27,27,"[2678, 2292, 703, 1058, 3084, 898, 1109, 644, 288, 1262, 684, 3042, 1826, 840, 51, 1150, 352, 3176, 1057, 2147]"
28,28,"[2678, 703, 836, 1058, 1826, 2292, 288, 3060, 3365, 1103, 1120, 1262, 2840, 1114, 2137, 898, 840, 3084, 1697, 1121]"
29,29,"[2678, 703, 2292, 1058, 288, 644, 836, 1109, 898, 1262, 3084, 1826, 2981, 840, 838, 1100, 3057, 1150, 862, 843]"
30,30,"[2678, 703, 2292, 1058, 836, 308, 2537, 898, 3084, 3042, 1109, 1262, 1826, 49, 644, 840, 288, 1150, 684, 1114]"
